User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
170850,345409574,10,Gods and Generals,Jeff Shaara,1997,Ballantine Books
170850,375413634,10,The Emperor of Ocean Park (Today Show Book Club #1),Stephen L. Carter,2002,Alfred A. Knopf
170850,385504209,10,The Da Vinci Code,Dan Brown,2003,Doubleday
170850,684815257,10,"CITIZEN SOLDIERS : The U.S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany -- June 7, 1944-May 7, 1945",Stephen E. Ambrose,1997,Simon &amp; Schuster
170850,786889616,7,Parallel Lies,Ridley Pearson,2002,Hyperion Press
170850,805065334,9,The Brass Wall : The Betrayal of Undercover Detective #4126,David Kocieniewski,2003,Henry Holt and Co.
170850,871138549,9,Charlie Wilson's War: The Extraordinary Story of the Largest Covert Operation in History,George Crile,2003,Atlantic Monthly Press
170857,373223005,7,"Guilty As Sin (Harlequin Intrigue, No 300)",Cathy Gillen Thacker,1994,Harlequin
170858,044023722X,5,A Painted House,John Grisham,2001,Dell Publishing Company
170858,684853787,6,Bobos In Paradise: The New Upper Class and How They Got There,David Brooks,2001,Simon &amp; Schuster
170861,156028778,7,The Crimson Petal and the White,Michel Faber,2003,Harvest Books
170861,015602943X,5,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,2004,Harvest Books
170861,316603287,2,The Lake House,James Patterson,2003,"Little, Brown"
170861,316735027,10,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown"
170861,385265700,7,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor
170861,385504209,10,The Da Vinci Code,Dan Brown,2003,Doubleday
170861,440109930,4,Ceremony,ROBERT PARKER,1992,Dell
170861,044023722X,5,A Painted House,John Grisham,2001,Dell Publishing Company
170861,451209907,7,Quentins,Maeve Binchy,2003,Signet Book
170861,517189585,10,Black Beauty (Children's Classics),ANNA SEWELL,1998,Children's Classics
170861,743428188,10,The Twentieth Wife: A Novel,Indu Sundaresan,2003,Washington Square Press
170861,743456408,6,The Feast of Roses: A Novel,Indu Sundaresan,2003,Atria Books
170861,767900383,4,Under the Tuscan Sun,Frances Mayes,1997,Broadway
170861,849990483,7,Traveling Light for Mothers,Max Lucado,2002,W Publishing Group
170861,961462698,10,Out and About Seattle With Kids: The Ultimate Family Guide for Fun and Learning,Ann Bergman,1997,Northwest Parent Publishing
170861,1400040442,4,Bangkok 8,JOHN BURDETT,2003,Knopf
170862,385414625,7,Five Star Mind: Games and Exercises to Stimulate Your Creativity and Imagination,Tom Wujec,1995,Main Street Books
170863,61013420,10,Worst Fears Realized,Stuart Woods,2000,HarperTorch
170863,451204115,10,L.A. Dead: A Stone Barrington Novel (Stone Barrington Novels (Paperback)),Stuart Woods,2001,Signet Book
170864,60250631,10,Addie Meets Max (Science I Can Read Book),Joan Robins,1985,HarperCollins Publishers
170866,60928336,8,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
170866,60930535,10,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
170866,312309295,8,Some Days There's Pie: A Novel,Catherine Landis,2003,St. Martin's Press
170866,425119653,4,Mutation,Robin Cook,1991,Berkley Publishing Group
170866,425168700,4,Fortune's Daughter,Alice Hoffman,1999,Berkley Publishing Group
170866,425169693,6,Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group
170866,440154472,10,Jailbird,Kurt Vonnegut,1980,Dell
170866,767903382,9,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books
170866,964631636,7,House of Gold,Bud Macfarlane Jr.,1999,Saint Jude Media
170866,1582430543,8,All New People: A Novel,Anne Lamott,2000,Counterpoint Press
170869,312957009,8,Miracles on Main Street,Veronica Ray,1996,St. Martin's Press
170869,037541200X,9,Blood Canticle (The Vampire Chronicles),ANNE RICE,2003,Knopf
170869,385335121,10,Tara Road,Maeve Binchy,1999,Bantam Doubleday Dell Pub (Trd)
170869,440509238,10,Spin Cycle,SUE MARGOLIS,2001,Delta
170869,670031208,9,Shepherds Abiding,Jan Karon,2003,Viking Books
170869,688170528,9,The Pact: A Love Story,Jodi Picoult,1999,Quill
170869,688177743,9,Keeping Faith : A Novel,Jodi Picoult,2000,Perennial
170869,786868716,9,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
170869,972714405,5,The Commitment Chronicles: How You Can Stay Happily Married,Cheryl McClary,2002,Top Shelf Pr
170879,1551669374,8,Sisters Found,Joan Johnston,2002,Mira
170882,142001740,7,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
170890,084233226X,10,Desecration: Antichrist Takes the Throne (Left Behind No. 9),Tim Lahaye,2001,Tyndale House Publishers
