User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
8284,345381718,10,Wildblossom,Cynthia Wright,1994,Ivy Books
8284,373290160,9,"Runaway (Harlequin Historical, 416)",Carolyn Davidson,1998,Harlequin
8284,380754029,7,Renegade Love,Katherine Sutcliffe,1989,Avon Books
8284,380763435,9,Devil's Delight,Deloras Scott,1992,Harper Mass Market Paperbacks (Mm)
8284,380775506,9,Promise Me Heaven,Connie Brockway,1994,Harper Mass Market Paperbacks (Mm)
8284,380775794,8,Wildfire,Donna Stephens,1995,Harper Mass Market Paperbacks (Mm)
8284,380778335,8,Promise Me,Kathleen Harrington,1995,Harper Mass Market Paperbacks (Mm)
8284,380782529,9,"A Tough Man's Woman (Tough Man Series , No 3)",Deborah Camp,1997,Avon
8284,380785617,8,Heart Breaker,Nicole Jordan,1998,Avon
8284,380793393,10,The Mackenzies: Jake,Ana Leigh,1999,Harper Mass Market Paperbacks
8284,038081918X,10,Getting Lucky (Avon Light Contemporary Romances),Susan Andersen,2003,Avon
8284,380898802,8,Reckless Yearning (Avon Romance),Victoria Pade,1987,Avon
8284,440206499,9,All My Heart Can Hold,Jessica Douglass,1991,Dell Publishing Company
8284,445206578,10,Gift of Fire,Jayne Ann Krentz,1989,Warner Books
8284,446365262,8,The Searching Hearts,Dorothy Garlock,1997,Warner Books
8284,446612812,10,Have You Seen Her?,Karen Rose,2004,Warner Books
8284,449146448,7,Picture Postcard,Fredrick D. Huebner,1991,Fawcett Books
8284,451405285,6,Dangerous Angel (Topaz Historical Romances),Deborah Martin,1994,Topaz
8284,515116386,9,Texas Kiss (Wildflower),Alexandra Blackstone,1995,Jove Books
8284,553571818,10,Long After Midnight,IRIS JOHANSEN,1997,Bantam
8284,590568817,9,"Say Cheese and Die-Again! (Goosebumps, No 44)",R. L. Stine,1996,Scholastic
8284,059067319X,9,"Night in Werewolf Woods (Give Yourself Goosebumps, No 5)",R. L. Stine,1996,Scholastic
8284,082172679X,7,Tender Betrayal,Lauren Wilde,1989,Kensington Pub Corp (Mm)
8284,082173718X,8,Caress of Fire,Martha Hix,1992,Kensington Pub Corp (Mm)
8284,821738453,9,Texas Touch,Emma Merritt,1992,Kensington Pub Corp (Mm)
8284,821746545,9,Tender Heart (Zebra Lovegram Historical Romance),Gwen Cleary,1994,Zebra Books
