User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
109427,373077459,6,"Megan's Mate (Silhouette Intimate Moments, No 745)",Nora Roberts,1996,Silhouette
109427,373079613,6,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,1999,Silhouette
109427,373218095,5,Two By Twilight (2 novels in 1),Maggie Shayne,2003,Silhouette
109427,373243286,6,"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,Silhouette
109427,373832508,6,Chances Are,Barbara Delinsky,1992,Harlequin
109427,373832907,5,Twelve Across (Best Of The Best),Barbara Delinsky,1994,Harlequin
109427,425160807,6,The Bishop at Sea (Blackie Ryan Novels),Andrew M. Greeley,1997,Berkley Publishing Group
109427,446364150,5,Hidden Fires,Sandra Brown,1994,Warner Books
109427,446601764,5,Beloved,Stella Cameron,1996,Warner Vision
109427,446606138,5,More and More,Stella Cameron,1999,Warner Books
109427,451408004,5,A Stockingful of Joy,Jill Barnett,1997,Onyx Books
109427,515124761,5,Hope and Glory,Katherine Sutcliffe,1999,Jove Books
109427,051512608X,4,The Reef,Nora Roberts,1999,Jove Books
109427,553446215,4,"Rough Around the Edges (Loveswept, No. 870)",Pat Van Wie,1998,Loveswept
109427,553578677,5,Legendary Lover (St. John-Duras),Susan Johnson,2000,Bantam Books
109427,671016652,6,Three Wishes,Barbara Delinsky,1998,Pocket
109427,671737600,7,Double Standards,Judith McNaught,1991,Pocket
109427,671776800,7,Paradise,Judith McNaught,1992,Pocket
109427,679737383,5,Anywhere but Here,MONA SIMPSON,1992,Vintage
109427,743453476,7,Whispers at Midnight,Karen Robards,2003,Pocket Star
109427,1551660261,6,Fulfillment,Barbara Delinsky,1995,Mira
109427,1551660504,6,Skin Deep,Nora Roberts,1995,Mira
109427,1551660687,6,Cardinal Rules,Barbara Delinsky,1995,Mira
109427,155166786X,5,Tears Of The Renegade,Linda Howard,2001,Mira
109429,3442083508,8,Die geschÃ?Â¼tzten MÃ?Â¤nner. Roman.,Robert Merle,1992,Goldmann
109449,760712263,8,Develop Your Psychic Potential Unlock Yo,Hazel Whitaker,0,Barnes Noble
109461,7109490,8,The Healing Paw: Not All Angels Have Wings,Billy Roberts,2001,Thorsons Publishers
109461,60653469,9,Finding Your Religion: When the Faith You Grew Up With Has Lost Its Meaning,Scotty McLennan,2000,HarperSanFrancisco
109461,60909269,9,The Country Between Us,Carolyn Forche,1982,Perennial
109461,60925841,9,The Angel of History,Carolyn Forche,1995,Perennial
109461,60926015,7,Mary Kay : The Story of America's Most Dynamic Businesswoman,Mary Kay Ash,1994,Perennial Currents
109461,60929480,8,Nine Gates : Entering the Mind of Poetry,Jane Hirshfield,1998,Perennial
109461,60951699,9,The Lives of the Heart: Poems,Jane Hirshfield,1997,Perennial
109461,60975547,10,Love Medicine,Louise Erdrich,1993,Perennial
109461,60976241,9,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,1994,Perennial
109461,62512358,8,"The 22 Non-Negotiable Laws of Wellness: Feel, Think, and Live Better Than You Ever Thought Possible",Greg Anderson,1995,Harpercollins
109461,64462412,7,"Hey, Day! Super-Amazing, Funk-da-crazing, Ultra-glazing Things to Do, Make and Ponder Every Day of the Year",Clea Hantman,2001,HarperTrophy
109461,140195874,6,One Continuous Mistake: Four Noble Truths for Writers (Arkana S.),Gail Sher,1999,Penguin Books
109461,345329031,8,All Things Are Lights,Robert Shea,1986,Ballantine Books
109461,345339738,10,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey
109461,345350499,7,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey
109461,345384466,3,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
109461,375503803,8,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2001,Random House
109461,037570504X,8,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA
109461,380002930,10,Watership Down,Richard Adams,1976,Avon
109461,380015390,4,Satanic Bible,Anton Szandor Lavey,1976,Avon
109461,038071339X,8,The Monkey Wrench Gang,Edward Abbey,1992,Quill
109461,385423446,8,Turning Japanese: Memoirs of a Sansei,David Mura,1992,Anchor
109461,393014991,8,Sea Shepherd: My Fight for Whales and Seals,Paul Watson,1981,W W Norton &amp; Co Inc
109461,393038661,8,The Poet's Notebook: Excerpts from the Notebooks of Contemporary American Poets,Stephen Kuusisto,1995,W W Norton &amp; Co Inc
109461,394486927,6,Gather Together in My Name,MAYA ANGELOU,1974,Random House
109461,440503442,7,Talking Leaves,Craig Lesley,1999,Laurel Editions
109461,441569595,8,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
109461,446604666,7,Sick Puppy,Carl Hiaasen,2001,Warner Vision
109461,446672351,8,Reservation Blues,Sherman Alexie,1996,Warner Books
109461,525945571,8,Help Yourself: Celebrating the Rewards of Resilience and Gratitude,David J. Pelzer,2000,Dutton Books
109461,553240811,8,Still Life with Woodpecker,Tom Robbins,1981,Bantam Books
109461,553348981,8,Jitterbug Perfume,TOM ROBBINS,1990,Bantam
109461,553382179,8,Sink Reflections,MARLA CILLEY,2002,Bantam
109461,553564668,7,What Falls Away: A Memoir,Mia Farrow,1998,Bantam Books
109461,671733354,9,How to Stop Worrying and Start Living,Dale Carnegie,1990,Pocket
109461,679442405,9,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,1999,Random House Inc
109461,679745203,9,The English Patient,Michael Ondaatje,1996,Vintage Books USA
109461,743420373,8,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,2000,Pocket
109461,802117163,4,The Sexual Life of Catherine M.,Catherine Millet,2002,Grove Press
109461,804116970,10,Colder Than Hell: A Marine Rifle Company at Chosin Reservoir,Joseph R. Owen,1997,Ballantine Books
109461,876054890,8,The Rabbit : An Owner's Guide to a Happy Healthy Pet (Happy Healthy Pet),Audrey  Pavia,1996,Howell Book House
109461,877284245,3,Sea Priestess,Fortune,1979,Weiser Books
109461,880883332,4,Feng Shui: The Art of Living,Rosalind Simmons,2000,Peter Pauper Press
109461,088419650X,3,The Bible Cure for Depression and Anxiety (Fitness and Health),Don Colbert,1999,Strang Communications Company
109461,886777844,5,Summon the Keeper,Tanya Huff,1998,Daw Books
109461,895295245,8,The Macrobiotic Way: The Complete Macrobiotic Diet &amp; Exercise Book,Michio Kushi (Author),1993,Avery Publishing Group
109461,089879854X,5,"1999 Poet's Market (Poet's Market, 1999)",Chantelle Bentley,1998,F &amp; W Pubns
109461,922915660,6,Satan Speaks!,Anton Szandor LA Vey,1998,Feral House
109461,140005446X,7,"Queer Eye for the Straight Guy : The Fab 5's Guide to Looking Better, Cooking Better, Dressing Better, Behaving Better, and Living Better",TED ALLEN,2004,Clarkson Potter
109461,1556590636,5,The Book of the Dead Man,Marvin Bell,1994,Copper Canyon Press
109461,1573221961,8,"Good Life, Good Death: Tibetan Wisdom on Reincarnation",Rimpoche Nawang Gehlek,2001,Riverhead Books
109461,1573227218,8,Amazing Grace: A Vocabulary of Faith,Kathleen Norris,1999,Riverhead Books
109461,157863010X,6,"Angels, Demons &amp; Gods of the New Millennium",Lon Milo DuQuette,1997,Weiser Books
109461,1580050298,7,The Mother Trip: Hip Mama's Guide to Staying Sane in the Chaos of Motherhood,Ariel Gore,2000,Seal Press (WA)
109461,1580620795,2,"2002 Things to Do on a Date: From Fun, Sometimes Silly, Romantic, to the Unique (2002)",Cyndi Haynes,1999,Adams Media Corporation
109461,1580620809,3,2002 Ways To Say \I Love You\,Cyndi Haynes,1999,Adams Media Corporation
109461,1890447048,8,Actual Air: Poems,David Berman,1999,Open City Books
109461,1902757734,5,Fantastic Rooms: Techniques and Projects for 12 Complete Decorating Styles,Liz Wagstaff,2001,Quadrille Publishing
109477,441569595,8,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
109480,743211375,9,From a Buick 8 : A Novel,Stephen King,2002,Scribner
109486,1568846967,2,Access 97 Programming for Windows for Dummies,Rob  Krumm,1997,For Dummies
109491,62740083,8,Emily Post on Weddings : Revised Edition,Elizabeth L. Post,1994,HarperResource
109491,312855648,8,"Isle of Woman (Geodyssey, Vol 1)",Piers Anthony,1993,St Martins Pr
109491,312970293,8,Perfect Secrets,Brenda Joyce,1999,St. Martin's Press
109491,373201494,8,Summer Lovers  (By Request) (By Request),Barbara Delinsky,1998,Harlequin
109491,373218257,5,Love By Design,Nora Roberts,2003,Silhouette Books
109491,373218486,9,Going Home: Unfinished Business/ Island of Flowers/ Mind Over Matter,Nora Roberts,2002,Silhouette
109491,373484429,8,Reflections And Dreams,Nora Roberts,2001,Silhouette
109491,373833504,8,"Bridal Showers (Harlequin, No 83350)",Jule McBride,1998,Harlequin
109491,380759497,9,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos
109491,380767589,9,To the Ends of the Earth (Avon Romance),Elizabeth Lowell,1998,Avon
109491,380795124,8,Be My Baby (Avon Light Contemporary Romances),Susan Andersen,1999,Avon
109491,385335830,8,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta
109491,425171396,9,"Hidden Agendas (Tom Clancy's Net Force, No. 2)",Tom Clancy,1999,Berkley Publishing Group
109491,440111811,9,Changes,Danielle Steel,1984,Dell
109491,440173922,8,The Ring,Danielle Steel,1983,Dell
109491,440176484,9,Secrets,DANIELLE STEEL,1986,Dell
109491,440184053,10,Summer's End,Danielle Steel,1980,Dell
109491,440205212,7,When Angels Fall,Meagan McKinney,1991,Dell Publishing Company
109491,440209412,10,Message from Nam,Danielle Steel,1991,Dell
109491,451457269,7,"The Price You Pay (Stargate SG-1, Book 2)",Ashley McConnell,1999,Roc
109491,515084557,10,"The Generals (American Short Story Series, V. 67)",W. E. B. Griffin,1991,Jove Books
109491,515089958,10,The Majors (Brotherhood of War),W. E. B. Griffin,1991,Jove Books
109491,515090204,10,The Berets (Brotherhood of War Book V),W. E. B. Griffin,1991,Jove Books
109491,515090220,10,The Colonels (Brotherhood of War),W. E. B. Griffin,1995,Jove Books
109491,515091383,10,The Captains: Brotherhood of War (Brotherhood of War),W. E. B. Griffin,1994,Jove Books
109491,515126772,9,Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,Jove Books
109491,515130389,9,Carolina Moon,Nora Roberts,2001,Jove Books
109491,515131229,9,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
109491,515132020,10,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
109491,553295977,8,Carnal Innocence,Nora Roberts,1992,Bantam Books
109491,553382179,9,Sink Reflections,MARLA CILLEY,2002,Bantam
109491,553560778,9,"Cold War (The American Chronicles, Vol 7)",Robert Vaughan,1995,Bantam Books
109491,553571583,9,Breakfast in Bed,SANDRA BROWN,1996,Fanfare
109491,553578960,7,The Accidental Bride,Jane Feather,1999,Bantam Books
109491,671002481,9,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket
109491,671019880,8,Upon a Midnight Clear : A Delightful Collection of Heartwarming Holiday Stories,Jude Deveraux,1998,Pocket
109491,671536613,10,A Gift of Love,Judith McNaught,1996,Pocket
109491,761535985,8,"The Complete Outdoor Wedding Planner: From Rustic Settings to Elegant Garden Parties, Everything You Need to Know to Make Your Day Special",SHARON NAYLOR,2001,Prima Lifestyles
109491,934081093,8,Planning a Wedding to Remember: The Perfect Wedding Planner,Beverly Clark,1995,Pub Group West
109491,1551662833,8,There And Now,Linda Lael Miller,1997,Mira
109502,312195516,8,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
109502,312278586,7,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press
109502,312283709,7,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press
109502,805063897,6,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books
109502,1573225789,10,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books
109503,399144463,10,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
109503,451174127,8,Succeed and Grow Rich Through Persuasion,Napoleon Hill,1996,Signet Book
109503,1860191142,5,Pretty Things (Easy to Make Craft Series),Hilary More,1996,Caxton Publishing
109504,140264795,8,Rosie: A Novel,Anne Lamott,1997,Penguin Books
109508,60391626,10,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
109508,312287666,7,Clubland: The Fabulous Rise and Murderous Fall of Club Culture,Frank Owen,2003,St. Martin's Press
109508,449911594,9,Dinner at the Homesick Restaurant : A Novel,ANNE TYLER,1996,Ballantine Books
109516,375725784,9,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA
109516,393035425,5,Garbage,A.R. Ammons,1993,W W Norton &amp; Co Inc
109516,446673544,8,Sex &amp; the City,Candace Bushnell,1997,Warner Books
109516,553278274,7,A Night to Remember,WALTER LORD,1997,Bantam
109516,553278355,7,The Bell Jar,Sylvia Plath,1983,Bantam
109516,671656570,9,MY SWEET AUDRINA,V. C. Andrews,1987,Pocket
109516,067172942X,8,Garden of Shadows (Dollanganger),V.C. Andrews,1990,Pocket
109516,671829777,7,PETALS ON WIND,V. C. Andrews,1980,Pocket
109516,684832186,6,WAKING UP SCREAMING FROM THE AMERICAN DREAM : NPR's Roving Correspondent Reports from the Bumpy Road to Success,Bob Garfield,1997,Scribner
109518,440216583,8,Chronic Pain (Natural Way of Healing),Theresa Digeronimo,1995,Dell Publishing Company
109518,451156609,6,The Tommyknockers,Stephen King,1994,Signet Book
109518,1841001406,7,Tracing Your Ancestors: An Illustrated Guide to Compiling Your Family Tree,Christine Morris,1999,Quadrillion Media LLC
109519,373078110,5,"Hidden Star  (The Stars Of Mithra) (Harlequin Intimate Moments, 811)",Nora Roberts,1997,Silhouette
109519,373078234,5,"Captive Star  (Stars Of Mithra) (Harlequin Intimate Moments, No 823)",Nora Roberts,1997,Silhouette
109519,373240007,5,"Pride Of Jared Mackade (The Mackade Brothers/) (Silhouette Special Edition, No 1000)",Nora Roberts,1995,Silhouette
109519,373240228,5,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",Nora Roberts,1996,Silhouette
109519,451527577,7,The Country of the Pointed Firs: And Other Stories (Signet Classics (Paperback)),Sarah Orne Jewett,2000,Signet Classics
109519,515118559,5,True Betrayals,Nora Roberts,1996,Jove Books
109519,051512608X,8,The Reef,Nora Roberts,1999,Jove Books
109519,515126772,5,Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,Jove Books
109519,515127000,5,Once upon a Star,Nora Roberts,1999,Jove Books
109519,515128554,5,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books
109519,515131660,5,Once upon a Rose,Nora Roberts,2001,Jove Books
109519,553290789,5,Genuine Lies,Nora Roberts,1999,Bantam
